walker	A	B	C	D	E	log_l	log_p
12	2.202710207e+00	1.611761445e+00	-2.923759642e-01	8.371548554e-02	-9.717485164e-01	1.551732365e+01	4.082199452e-02
13	2.122453003e+00	1.502829107e+00	-1.633117622e-01	8.911229546e-02	-8.960151093e-01	1.436627431e+01	4.082199452e-02
14	2.131472451e+00	1.610875082e+00	-3.188804153e-01	8.420035643e-02	-9.045962807e-01	1.549528893e+01	4.082199452e-02
15	2.110094493e+00	1.586982723e+00	-2.881119834e-01	8.879402227e-02	-8.853577043e-01	1.534600164e+01	4.082199452e-02
16	1.907347467e+00	1.617174606e+00	-2.308589261e-01	9.282494331e-02	-8.443334894e-01	1.407988226e+01	4.082199452e-02
17	1.906168969e+00	1.525294316e+00	-2.378075840e-01	9.752862295e-02	-9.317394422e-01	1.365838125e+01	4.082199452e-02
18	2.102650348e+00	1.575847873e+00	-2.402330464e-01	9.303112386e-02	-9.059854580e-01	1.506420799e+01	4.082199452e-02
19	1.881534767e+00	1.491653782e+00	-1.934123091e-02	1.048132671e-01	-7.262692805e-01	1.250497242e+01	4.082199452e-02
20	2.092812726e+00	1.571787434e+00	-2.426665792e-01	9.377030688e-02	-8.872025684e-01	1.513529802e+01	4.082199452e-02
21	1.997115035e+00	1.536072653e+00	-1.309756055e-01	9.903916413e-02	-8.210457771e-01	1.400931336e+01	4.082199452e-02
22	2.005610670e+00	1.537606585e+00	-1.536074357e-01	9.804691591e-02	-8.168994989e-01	1.439761392e+01	4.082199452e-02
23	2.107779861e+00	1.544517813e+00	-2.085406838e-01	9.443178965e-02	-8.946948985e-01	1.495266123e+01	4.082199452e-02
24	1.870070288e+00	1.525263059e+00	-3.104921304e-01	1.031066333e-01	-6.593765977e-01	1.468015010e+01	4.082199452e-02
25	1.787658509e+00	1.326392119e+00	-1.817102879e-01	1.152640419e-01	-5.232909691e-01	1.966143382e+01	4.082199452e-02
26	2.084671904e+00	1.738590229e+00	-4.651592154e-01	8.647532979e-02	-9.128830428e-01	1.398559445e+01	4.082199452e-02
27	2.132188573e+00	1.673869772e+00	-3.997768272e-01	8.755851137e-02	-9.329819630e-01	1.530140756e+01	4.082199452e-02
28	2.145999006e+00	1.712146312e+00	-4.588057556e-01	8.530630596e-02	-9.494747143e-01	1.460698959e+01	4.082199452e-02
29	2.093576171e+00	1.728348900e+00	-4.716756143e-01	8.841298591e-02	-9.282692549e-01	1.399004701e+01	4.082199452e-02
30	2.005032711e+00	1.778910977e+00	-4.850404388e-01	8.664672294e-02	-8.558841750e-01	1.299784481e+01	4.082199452e-02
31	2.082883381e+00	1.738553989e+00	-4.657222369e-01	8.607087931e-02	-9.070191070e-01	1.399631111e+01	4.082199452e-02
32	2.172591626e+00	1.664943043e+00	-4.061697040e-01	8.781447590e-02	-9.434643655e-01	1.554026152e+01	4.082199452e-02
33	2.072159021e+00	1.745270502e+00	-4.649626411e-01	8.629092098e-02	-9.033954411e-01	1.387687921e+01	4.082199452e-02
34	2.146836198e+00	1.710660252e+00	-4.571486610e-01	8.538526847e-02	-9.492854958e-01	1.464531376e+01	4.082199452e-02
35	2.186287239e+00	1.695289651e+00	-4.543907981e-01	8.481826026e-02	-9.765751572e-01	1.503531725e+01	4.082199452e-02
36	2.320800027e+00	1.621027934e+00	-4.552555206e-01	8.246186457e-02	-1.038100211e+00	1.697436562e+01	4.082199452e-02
37	2.284773936e+00	1.639807224e+00	-4.559872159e-01	8.304809745e-02	-1.019834699e+00	1.639985406e+01	4.082199452e-02
38	2.333010923e+00	1.666964537e+00	-4.841315239e-01	8.148101667e-02	-1.080505732e+00	1.587953129e+01	4.082199452e-02
39	2.435414229e+00	1.598639804e+00	-4.376034616e-01	8.152346626e-02	-1.140441122e+00	1.730352309e+01	4.082199452e-02
40	2.378448955e+00	1.674225407e+00	-5.072477710e-01	8.119829490e-02	-1.122751535e+00	1.517681747e+01	4.082199452e-02
41	2.305527116e+00	1.652486307e+00	-4.351736570e-01	8.366030262e-02	-1.068195996e+00	1.616801479e+01	4.082199452e-02
42	2.252700407e+00	1.659469720e+00	-4.490454168e-01	8.386099967e-02	-1.013007810e+00	1.595448355e+01	4.082199452e-02
43	2.288712609e+00	1.645051904e+00	-4.339698954e-01	8.373826690e-02	-1.043368264e+00	1.641506791e+01	4.082199452e-02
44	2.304036712e+00	1.669376819e+00	-4.623601586e-01	8.135043832e-02	-1.080134767e+00	1.578311920e+01	4.082199452e-02
45	2.321452156e+00	1.656759513e+00	-4.643470425e-01	8.232794536e-02	-1.070442501e+00	1.621852136e+01	4.082199452e-02
46	2.298642363e+00	1.648280091e+00	-4.420784412e-01	8.345720691e-02	-1.052152401e+00	1.638042672e+01	4.082199452e-02
